index;title;score;type;categories;most relevant words
1;Alan Smithee;45;Pseudonym | Fiktive Person;Fiktive Person, Pseudonym, Sammelpseudonym, Werk von Alan Smithee;smithee, alan, regisseur, pseudonym, film, dga, namen, werk, totten, siegel, hollywood, verwendung, august, filme, eigentliche, thomas, lee, schreibweisen, gehören, imdb
3;Ang Lee;21;person;Ang Lee, Drehbuchautor, Filmregisseur, Oscarpreisträger, Golden-Globe-Preisträger, Person als Namensgeber für einen Asteroiden, Mitglied der American Academy of Arts and Sciences, Taiwaner, Geboren 1954, Mann;lee, kategorie, tiger, ang, film, dragon, beste, regie, filme, brokeback, mountain, taiwan, auszeichnung, nominierung, regisseur, sinn, sinnlichkeit, lees, filmfestspiele, venedig
34;Anthony Minghella;18;person;Anthony Minghella, Autor, Literatur (20. Jahrhundert), Literatur (Englisch), Drama, Theaterregisseur, Hörspielautor, Drehbuchautor, Filmregisseur, Filmproduzent, Oscarpreisträger, Opernregisseur, Commander des Order of the British Empire, Brite, Geboren 1954, Gestorben 2008, Mann;kategorie, minghella, patient, anthony, isle, wight, drehbuchautor, tätig, fernsehserie, film, regie, englische, cold, mountain, bbc, ripley, british, cbe, märz, london
42;Alfred Hitchcock;39;person;Alfred Hitchcock, Filmregisseur, Filmproduzent, Person (Stummfilm), Knight Commander des Order of the British Empire, Mitglied der Ehrenlegion (Ritter), Träger des Ordre des Arts et des Lettres (Offizier), Person (Film, London), Oscarpreisträger, Diskriminierung, Sexismus, Brite, US-Amerikaner, Geboren 1899, Gestorben 1980, Mann;hitchcock, film, hitchcocks, alfred, usa, filme, filmen, jedoch, mann, psycho, regisseur, regie, films, frau, isbn, mord, drehbuch, vertigo, unsichtbare, drehte
44;Aki Kaurismäki;18;person;Aki Kaurismäki, Filmregisseur, Drehbuchautor, Träger der finnischen Auszeichnung Akademiker, Jussi-Preisträger, Finne, Geboren 1957, Mann, Träger des Berliner Kunstpreises;film, kaurismäki, mann, vergangenheit, aki, nominierung, bester, filmfestival, internationales, regie, kategorie, berlin, havre, filmfestspiele, jussi, drehbuch, wolken, ziehen, vorüber, mika
48;Al Pacino;15;person;Filmschauspieler, Theaterschauspieler, Golden-Globe-Preisträger, Oscarpreisträger, Emmy-Preisträger, Träger des Tony Award, US-Amerikaner, Person (Bronx), Geboren 1940, Mann, Mitglied der American Academy of Arts and Sciences;pacino, hauptdarsteller, nominierung, bester, pate, bester, award, richard, kategorie, nebendarsteller, drama, new, jahren, looking, scarface, erhielt, film, hundstage, iii, serpico
62;Alexander der Große;15;person;Alexander der Große, König (Makedonien), Person im Alexanderzug, Altägyptischer König (Griechisch-römische Zeit), Namensgeber für einen Mondkrater, Militärperson (Makedonien), Geboren 356 v. Chr., Gestorben 323 v. Chr., Mann, Neun Gute Helden;alexander, alexanders, chr., dareios, könig, jahrhundert, stadt, makedonen, persischen, isbn, perser, ließ, worden, zeit, griechischen, große, makedonien, schlacht, philipp, quellen
64;Anthony Hope;15;person;Anthony Hope, Dichterjurist, Literatur (Englisch), Literatur (Vereinigtes Königreich), Literatur (19. Jahrhundert), Literatur (20. Jahrhundert), Roman, Epik, Knight Bachelor, Person (London), Engländer, Brite, Geboren 1863, Gestorben 1933, Mann;kategorie, literatur, hope, hawkins, anthony, london, zenda, jahrhundert, mini|anthony, pseudonym, sir, februar, juli, walton-on-the-hill, surrey, britischen, rechtsanwalt, schriftsteller, sohn, reverend
74;Alan Turing;24;person;Alan Turing, Informatiker, Logiker, Mathematischer Logiker (20. Jahrhundert), Theoretischer Biologe, Kryptoanalytiker, Person (Künstliche Intelligenz), Computerpionier, Computerschachprogrammierer, Fish (Kryptologie), Enigma (Maschine), Hochschullehrer (University of Manchester), Vertreter der Philosophie des Geistes, Kognitionswissenschaftler, Person im Zweiten Weltkrieg (Vereinigtes Königreich), Nachrichtendienstliche Person im Zweiten Weltkrieg, Geschichte der Homosexualität, Mitglied der Royal Society, Person als Namensgeber für einen Asteroiden, Officer des Order of the British Empire, Brite, Geboren 1912, Gestorben 1954, Mann;turing, alan, turings, kategorie, isbn, jahr, ref, enigma, juni, maschine, britische, manchester, informatik, regierung, arbeit, intelligenz, university, rehabilitierung, wegen, jahre
80;Arthur Harris;9;person;Marshal of the Royal Air Force, Jagdpilot im Ersten Weltkrieg (Vereinigtes Königreich), Person im Zweiten Weltkrieg (Vereinigtes Königreich), Baronet, Knight Grand Cross des Order of the Bath, Officer des Order of the British Empire, Träger des Air Force Cross (Vereinigtes Königreich), Träger des Ordens Legion of Merit (Chief Commander), Brite, Geboren 1892, Gestorben 1984, Mann;harris, bomber, kategorie, air, force, london, royal, arthur, britischen, februar, weltkrieg, krieg, isbn, april, raf, märz, operation, deutsche, command, städte
